p0,p1,n,p0_m,p1_m,tts_p*,rts_p*,cb_p*,ucb_p*
0.4,0.6,254.0,0.0,0.3,0.72,0.87,0.78,0.8
0.4,0.6,254.0,0.0,0.4,0.72,0.86,0.77,0.82
0.4,0.6,254.0,0.0,0.5,0.71,0.85,0.78,0.84
0.7,0.9,162.0,0.0,0.0,0.75,0.9,0.69,0.75
0.7,0.9,162.0,0.1,0.1,0.73,0.89,0.68,0.74
0.7,0.9,162.0,0.2,0.2,0.72,0.88,0.69,0.73
0.7,0.9,162.0,0.3,0.3,0.71,0.87,0.69,0.72
0.7,0.9,162.0,0.4,0.4,0.69,0.85,0.69,0.71
0.7,0.9,162.0,0.5,0.5,0.68,0.83,0.68,0.69
0.7,0.9,162.0,0.0,0.0,0.74,0.9,0.69,0.75
0.7,0.9,162.0,0.1,0.0,0.74,0.89,0.71,0.73
0.7,0.9,162.0,0.2,0.0,0.73,0.89,0.72,0.7
0.7,0.9,162.0,0.3,0.0,0.73,0.89,0.73,0.67
0.7,0.9,162.0,0.4,0.0,0.72,0.88,0.74,0.63
0.7,0.9,162.0,0.5,0.0,0.71,0.88,0.77,0.58
0.7,0.9,162.0,0.0,0.0,0.74,0.89,0.69,0.75
0.7,0.9,162.0,0.0,0.1,0.74,0.89,0.68,0.76
0.7,0.9,162.0,0.0,0.2,0.73,0.89,0.66,0.77
0.7,0.9,162.0,0.0,0.3,0.72,0.88,0.64,0.79
0.7,0.9,162.0,0.0,0.4,0.71,0.87,0.62,0.81
0.7,0.9,162.0,0.0,0.5,0.7,0.84,0.6,0.82
